author_name,author_title,author_url,post_url,post_text,post_date,location,scraped_date,search_term,location_filter
,"Bakry Consulting Engineers
Bakry Consulting Engineers",https://www.linkedin.com/in/sameh-desoky-b0325b135,,لقد مر وقت منذ بدأت وظيفتي في ⁦⁩‏Bakry Consulting Engineers‏⁦⁩ بمنصب ‏bim modeler & electrical draftsman‏، ولكني أرغب في مشاركة هذا التحديث مع الجميع.,"2 semanas 
 
hace 2 semanas",,2025-08-28 22:03:38,,
,"Talent Acquisition | Naukri Certified Recruiter | Architecture & Interior Design | Engineering & Construction | Information Technology
Talent Acquisition | Naukri Certified Recruiter | Architecture & Interior Design | Engineering & Construction | Information Technology",https://www.linkedin.com/in/anseena-rose,,"✨Azizi is hiring: BIM Modeler – Pods ✨

 Shape the future of modular living! 
 We’re hiring a BIM Modeler (Bathroom Pods) with 2–5 years of Revit/BIM experience to deliver detailed 3D models & shop drawings for prefabricated pods. If you’re passionate about modular design and coordination, we want you on our team! 🚀

📩 Apply now


hashtag
#DubaiJobs 
hashtag
#BIMModelerPods 
hashtag
#UAEJobs 
hashtag
#ConstructionCareers 
hashtag
#HiringDubai 
hashtag
#AziziDevelopments","7 horas 
 
hace 7 horas",,2025-08-28 22:51:44,,
,"#BIM Modeler #BIM Technologist #BIM #Structural #Coordinator
#BIM Modeler #BIM Technologist #BIM #Structural #Coordinator",https://www.linkedin.com/in/dominickmorales,,Check out this job at Amico Affiliates: BIM Modeler,"2 horas 
 
hace 2 horas",,2025-08-28 22:51:57,,
,"Managing Partner at KOZAH Engineering & Consultancy
Managing Partner at KOZAH Engineering & Consultancy",https://www.linkedin.com/in/mark-kozah-290471a6,,BIM Modelers and Inspectors Required...,"4 días 
 
hace 4 días",,2025-08-28 22:51:59,,
,"#BIM Modeler #BIM Technologist #BIM #Structural #Coordinator
#BIM Modeler #BIM Technologist #BIM #Structural #Coordinator",https://www.linkedin.com/in/dominickmorales,,Check out this job at Amico Affiliates: BIM Modeler,"21 horas 
 
hace 21 horas",,2025-08-29 17:51:57,,
,"BIM QA/QC Manager at Archnetix
BIM QA/QC Manager at Archnetix",,,"We are 
hashtag
#hiring for a BIM Modeler role. Know anyone who would be a good fit?","3 semanas 
 
hace 3 semanas",,2025-08-29 18:32:39,BIM Modeler,Estados Unidos
,"HR and Administrative Officer | Full-Cycle Recruitment | UAE HR Operations | Customer Service| Office Management
HR and Administrative Officer | Full-Cycle Recruitment | UAE HR Operations | Customer Service| Office Management",,,"hashtag
#We_are_hiring 
Zürich is looking for experienced BIM Modelers to join our dynamic team in UAE. This is a full-time, on-site role where you will work on exciting projects of our clients in the MEP sector across UAE. 
 
Interested candidates can apply via LinkedIn or send their CV to hr@zurichengineering.org

 If you know someone skilled and experienced, please tag them or share this post!


hashtag
#BIMJobs 
hashtag
#Hiring 
hashtag
#DubaiJobs 
hashtag
#MEP 
hashtag
#Construction 
hashta","2 semanas 
 
hace 2 semanas",,2025-08-29 18:32:41,BIM Modeler,Estados Unidos
,"Store Designer | CAD/Revit Technician | Structural Drafter
Store Designer | CAD/Revit Technician | Structural Drafter",,,"We are hiring!!! 

Check out this job at Salas O'Brien: BIM Modeler","3 semanas 
 
hace 3 semanas",,2025-08-29 18:32:41,BIM Modeler,Estados Unidos
,"#BIM Modeler #BIM Technologist #BIM #Structural #Coordinator
#BIM Modeler #BIM Technologist #BIM #Structural #Coordinator",,,Check out this job at Amico Affiliates: BIM Modeler,"22 horas 
 
hace 22 horas",,2025-08-29 18:32:42,BIM Modeler,Estados Unidos
,"Lead HR Executive- Commandtech
Lead HR Executive- Commandtech",,,"🚨 We're Hiring: Mechanical BIM Modeler
 📍 Location: Work from Office – Trivandrum ,Kinfra IT Park
 🕒 Experience: 2+ Years
 📅 Immediate Joiners Preferred
Join a dynamic BIM team working on cutting-edge projects in the AEC industry. If you have strong Revit skills and a passion for detail, we want to hear from you!
🔗 Apply Now: https://lnkd.in/gPgfc9Dy 
 OR
Send your CV to rect@commandworld.com


hashtag
#MechanicalBIMModeler 
hashtag
#BIMJobs 
hashtag
#RevitJobs 
hashtag
#MechanicalEngineering 
h","3 semanas 
 
hace 3 semanas",,2025-08-29 18:32:42,BIM Modeler,Estados Unidos
,"Managing Partner at KOZAH Engineering & Consultancy
Managing Partner at KOZAH Engineering & Consultancy",,,BIM Modelers and Inspectors Required...,"5 días 
 
hace 5 días",,2025-08-29 18:32:42,BIM Modeler,Estados Unidos
,"Talent Acquisition Executive | HR Professional in the AEC Industry | Connecting Talent with Opportunity | Enabling Workforce Efficiency & Growth
Talent Acquisition Executive | HR Professional in the AEC Industry | Connecting Talent with Opportunity | Enabling Workforce Efficiency & Growth",,,"Hello Connections! 👋
We are hiring for the position of BIM Modeler – Architecture.

📌 Experience Required: 1–4 years
📌 Key Skills: BIM & Revit

If you have hands-on experience in architectural BIM modeling and proficiency in Revit, we’d love to hear from you!

📩 Apply now and take the next step in your career.
Axium Global (formerly XS CAD)","6 días 
 
hace 6 días",,2025-08-29 18:32:42,BIM Modeler,Estados Unidos
,"Head of Digital Delivery | BSI Certified BIM Professional | AWS Certified Solutions Architect - Associate | Certified Blockchain Professional
Head of Digital Delivery | BSI Certified BIM Professional | AWS Certified Solutions Architect - Associate | Certified Blockchain Professional",,,"⭐️ We’re Hiring: BIM Modeler (Junior or Senior)
📍 Kuala Lumpur | 🏢 Ranhill Bersekutu

From PETRONAS Twin Towers to Data Centers, our projects shape Malaysia’s future. Now we want YOU to be part of it.

💼 Your Role: Build & manage high-precision BIM models for iconic, multidisciplinary projects.
🎯 You Are: Proficient in Revit/ Civil3D/ Navisworks/ Dynamo a plus. Fresh grad OR 3+ years’ experience.
🌏 Why Join: Global exposure, career growth, work on projects that make history.

📩 Apply now via Job","2 semanas 
 
hace 2 semanas",,2025-08-29 18:32:42,BIM Modeler,Estados Unidos
